checking_balance,months_loan_duration,credit_history,purpose,amount,savings_balance,employment_length,installment_rate,personal_status,other_debtors,residence_history,property,age,installment_plan,housing,existing_credits,default,dependents,has_telephone,foreign_worker,job,gender
97.24587458745874,11,critical,car (new),1393,75.0,1 months,4,single,none,5 years,other,35,none,own,2,0,1,0,yes,mangement self-employed,female
97.24587458745874,36,repaid,radio/tv,2299,880.0,17 years,4,single,none,8 years,other,39,none,own,1,0,1,0,yes,skilled employee,male
-8.0,6,repaid,car (used),1352,879.0,1 years,1,single,none,6 months,building society savings,23,none,rent,1,0,1,1,yes,unemployed non-resident,female
97.24587458745874,11,critical,car (new),7228,99.0,1 years,1,single,none,8 years,building society savings,39,none,own,2,0,1,0,yes,unskilled resident,male
97.24587458745874,12,repaid,radio/tv,2073,308.0,3 years,4,single,co-applicant,0 months,real estate,28,none,own,1,0,1,0,yes,skilled employee,female
14.0,24,delayed,furniture,2333,781.5703794369645,3 months,4,single,none,9 months,building society savings,29,bank,own,1,0,1,0,yes,unskilled resident,male
39.0,27,delayed,car (used),5965,78.0,18 years,1,single,none,2 months,other,30,none,own,2,0,1,1,yes,mangement self-employed,male
97.24587458745874,12,repaid,radio/tv,1262,50.0,3 years,3,single,none,10 months,other,25,none,own,1,0,1,0,yes,skilled employee,male
97.24587458745874,18,repaid,car (used),3378,781.5703794369645,2 years,2,single,none,2 years,building society savings,31,none,own,1,0,1,1,yes,skilled employee,male
73.0,36,delayed,car (new),2225,31.0,13 years,4,single,none,24 years,unknown/none,57,bank,for free,2,1,1,1,yes,skilled employee,male
97.24587458745874,6,fully repaid this bank,car (new),783,781.5703794369645,3 years,1,single,guarantor,9 months,real estate,26,stores,own,1,0,2,0,yes,unskilled resident,male
3.0,12,repaid,radio/tv,6468,781.5703794369645,1 years,2,single,none,0 months,unknown/none,52,none,own,1,1,1,1,yes,mangement self-employed,male
97.24587458745874,36,critical,radio/tv,9566,81.0,1 years,2,single,none,8 months,other,31,stores,own,2,0,1,0,yes,skilled employee,female
873.0,18,repaid,car (new),1961,35.0,13 years,3,single,none,7 months,other,23,none,own,1,0,1,0,yes,mangement self-employed,female
-50.0,36,critical,furniture,6229,30.0,1 months,4,single,co-applicant,15 years,unknown/none,23,none,rent,2,1,1,1,yes,unskilled resident,female
103.0,9,repaid,business,1391,37.0,2 years,2,married,none,2 years,real estate,27,bank,own,1,0,1,1,yes,skilled employee,male
184.0,15,critical,radio/tv,1537,781.5703794369645,18 years,4,single,guarantor,11 years,real estate,50,none,own,2,0,1,1,yes,skilled employee,male
155.0,36,fully repaid,business,1953,73.0,18 years,4,single,none,5 years,unknown/none,61,none,for free,1,1,1,1,yes,mangement self-employed,male
69.0,48,fully repaid,business,14421,82.0,2 years,2,single,none,0 months,other,25,none,own,1,1,1,1,yes,skilled employee,male
97.24587458745874,24,repaid,radio/tv,3181,16.0,4 months,4,single,none,18 years,building society savings,26,none,own,1,0,1,1,yes,skilled employee,female
97.24587458745874,27,repaid,repairs,5190,781.5703794369645,17 years,4,single,none,19 years,building society savings,48,none,own,4,0,2,1,yes,skilled employee,male
97.24587458745874,12,repaid,radio/tv,2171,82.0,3 months,2,single,none,8 months,other,29,bank,own,1,0,1,0,yes,skilled employee,female
73.0,12,repaid,car (new),1007,4865.0,3 years,4,married,none,2 years,real estate,22,none,own,1,0,1,0,yes,skilled employee,male
97.24587458745874,36,repaid,education,1819,89.0,1 years,4,single,none,22 years,unknown/none,37,stores,for free,1,1,1,1,yes,skilled employee,male
97.24587458745874,36,repaid,radio/tv,2394,781.5703794369645,2 years,4,single,none,13 years,other,25,none,own,1,0,1,0,yes,skilled employee,female
97.24587458745874,36,repaid,car (used),8133,54.0,3 years,1,single,none,3 months,building society savings,30,bank,own,1,0,1,0,yes,skilled employee,female
97.24587458745874,7,critical,radio/tv,730,781.5703794369645,9 years,4,single,none,6 months,building society savings,46,none,rent,2,0,1,1,yes,unskilled resident,male
-15.0,8,critical,others,1164,98.0,16 years,3,single,none,14 years,unknown/none,51,bank,for free,2,0,2,1,yes,mangement self-employed,male
176.0,42,critical,business,5954,13.0,4 years,2,single,none,2 years,real estate,41,bank,own,2,0,1,0,yes,unskilled resident,female
-31.0,36,repaid,education,1977,781.5703794369645,7 years,4,single,none,23 years,unknown/none,40,none,own,1,1,1,1,yes,mangement self-employed,male
-17.0,12,critical,car (used),1526,7.0,16 years,4,single,none,20 years,unknown/none,66,none,for free,2,0,1,0,yes,mangement self-employed,male
-16.0,42,repaid,radio/tv,3965,38.0,10 months,4,single,none,3 years,other,34,none,own,1,1,1,0,yes,skilled employee,male
42.0,11,delayed,radio/tv,4771,54.0,4 years,2,single,none,19 years,building society savings,51,none,own,1,0,1,0,yes,skilled employee,male
97.24587458745874,54,fully repaid,car (used),9436,781.5703794369645,1 years,2,single,none,1 months,building society savings,39,none,own,1,0,2,0,yes,unskilled resident,male
146.0,30,repaid,furniture,3832,38.0,7 months,2,married,none,2 years,building society savings,22,none,own,1,0,1,0,yes,skilled employee,male
97.24587458745874,24,repaid,radio/tv,5943,781.5703794369645,0 months,1,single,none,0 months,other,44,none,own,2,1,1,1,yes,skilled employee,female
97.24587458745874,15,repaid,radio/tv,1213,701.0,19 years,4,single,none,3 years,building society savings,47,stores,own,1,0,1,1,yes,skilled employee,male
97.24587458745874,18,repaid,business,1568,419.0,3 years,3,single,none,11 years,building society savings,24,none,rent,1,0,1,0,yes,unskilled resident,female
-13.0,24,repaid,others,1755,29.0,14 years,4,single,guarantor,18 years,real estate,58,none,own,1,0,1,1,yes,unskilled resident,female
-24.0,10,repaid,radio/tv,2315,77.0,15 years,3,single,none,13 years,real estate,52,none,own,1,0,1,0,yes,unskilled resident,male
97.24587458745874,12,critical,business,1412,93.0,1 years,4,single,guarantor,0 months,real estate,29,none,own,2,0,1,1,yes,mangement self-employed,female
29.0,18,critical,furniture,1295,80.0,9 months,4,single,none,2 years,building society savings,27,none,own,2,0,1,0,yes,skilled employee,female
55.0,36,repaid,education,12612,382.0,2 years,1,single,none,21 years,unknown/none,47,none,for free,1,1,2,1,yes,skilled employee,male
-48.0,18,repaid,car (new),2249,326.0,4 years,4,single,none,2 years,other,30,none,own,1,0,2,1,yes,mangement self-employed,male
-36.0,12,fully repaid,repairs,1108,55.0,6 years,4,single,none,1 years,real estate,28,none,own,2,1,1,0,yes,skilled employee,male
97.24587458745874,12,critical,radio/tv,618,35.0,8 years,4,single,none,13 years,real estate,56,none,own,1,0,1,0,yes,skilled employee,male
-12.0,12,critical,car (used),1409,11.0,19 years,4,single,none,2 years,real estate,54,none,own,1,0,1,0,yes,skilled employee,male
97.24587458745874,12,critical,radio/tv,797,781.5703794369645,17 years,4,single,none,4 years,building society savings,33,bank,own,1,1,2,0,yes,unskilled resident,female
587.0,24,critical,furniture,3617,781.5703794369645,19 years,4,single,co-applicant,20 years,unknown/none,20,none,rent,2,0,1,0,yes,skilled employee,male
153.0,12,repaid,car (new),1318,1836.0,12 years,4,single,none,20 years,real estate,54,none,own,1,0,1,1,yes,skilled employee,male
155.0,54,fully repaid,business,15945,88.0,11 months,3,single,none,9 years,unknown/none,58,none,rent,1,1,1,1,yes,skilled employee,male
97.24587458745874,12,critical,education,2012,781.5703794369645,7 years,4,single,none,2 months,other,61,none,own,1,0,1,0,yes,skilled employee,female
126.0,18,repaid,business,2622,120.0,2 years,4,single,none,10 years,other,34,none,own,1,0,1,0,yes,skilled employee,male
76.0,36,critical,radio/tv,2337,35.0,9 years,4,single,none,22 years,real estate,36,none,own,1,0,1,0,yes,skilled employee,male
152.0,20,delayed,car (used),7057,781.5703794369645,7 years,3,single,none,20 years,building society savings,36,bank,rent,2,0,2,1,yes,mangement self-employed,male
97.24587458745874,24,repaid,car (new),1469,355.0,12 years,4,married,none,23 years,real estate,41,none,rent,1,0,1,0,yes,unskilled resident,male
41.0,36,repaid,radio/tv,2323,44.0,5 years,4,single,none,23 years,other,24,none,rent,1,0,1,0,yes,skilled employee,male
97.24587458745874,6,delayed,radio/tv,932,84.0,2 years,3,single,none,4 months,real estate,24,none,own,1,0,1,0,yes,skilled employee,female
195.0,9,critical,furniture,1919,60.0,5 years,4,single,none,3 years,other,35,none,rent,1,0,1,1,yes,skilled employee,male
97.24587458745874,12,repaid,car (used),2445,781.5703794369645,3 months,2,married,none,5 years,other,26,none,rent,1,0,1,1,yes,skilled employee,male
59.0,24,critical,others,11938,63.0,1 years,2,single,co-applicant,2 years,other,39,none,own,2,1,2,1,yes,mangement self-employed,male
97.24587458745874,18,fully repaid this bank,car (new),6458,51.0,13 years,2,single,none,24 years,unknown/none,39,bank,own,2,1,2,1,yes,mangement self-employed,male
115.0,12,repaid,car (new),6078,66.0,6 years,2,single,none,8 months,other,32,none,own,1,0,1,0,yes,skilled employee,male
-27.0,24,repaid,furniture,7721,781.5703794369645,2 months,1,single,none,11 months,building society savings,30,none,own,1,0,1,1,no,skilled employee,female
135.0,14,repaid,business,1410,999.0,14 years,1,married,none,5 months,real estate,35,none,own,1,0,1,1,yes,skilled employee,male
71.0,6,delayed,business,1449,154.0,10 years,1,divorced,none,8 months,other,31,bank,own,2,0,2,0,yes,skilled employee,male
501.0,15,repaid,education,392,7.0,8 months,4,single,none,18 years,building society savings,23,none,rent,1,0,1,1,yes,skilled employee,female
78.0,18,repaid,car (new),6260,35.0,4 years,3,single,none,1 years,real estate,28,none,rent,1,0,1,0,yes,unskilled resident,male
97.24587458745874,36,critical,car (new),7855,95.0,3 years,4,single,none,11 months,real estate,25,stores,own,2,1,1,1,yes,skilled employee,female
-21.0,12,repaid,radio/tv,1680,841.0,12 years,3,married,none,2 years,real estate,35,none,own,1,0,1,0,yes,skilled employee,male
97.24587458745874,48,critical,radio/tv,3578,781.5703794369645,11 years,4,single,none,2 years,real estate,47,none,own,1,0,1,1,yes,skilled employee,male
-41.0,42,repaid,radio/tv,7174,781.5703794369645,4 years,4,single,none,1 years,other,30,none,own,1,1,1,1,yes,mangement self-employed,female
-31.0,10,critical,furniture,2132,781.5703794369645,7 months,2,single,co-applicant,2 years,real estate,27,none,rent,2,0,1,0,no,skilled employee,female
-28.0,33,critical,furniture,4281,670.0,1 years,1,single,none,12 years,other,23,none,own,2,1,1,0,yes,skilled employee,female
180.0,12,critical,car (new),2366,512.0,7 years,3,divorced,none,4 years,other,36,none,own,1,0,1,1,yes,mangement self-employed,male
-48.0,21,repaid,radio/tv,1835,9.0,2 years,3,single,none,1 months,real estate,25,none,own,2,1,1,1,yes,skilled employee,female
97.24587458745874,24,critical,car (used),3868,38.0,19 years,4,single,none,9 months,other,41,none,rent,2,0,1,1,yes,mangement self-employed,female
97.24587458745874,12,repaid,furniture,1768,58.0,3 years,3,single,none,9 months,real estate,24,none,rent,1,0,1,0,yes,unskilled resident,male
771.0,10,critical,car (new),781,56.0,19 years,4,single,none,18 years,unknown/none,63,none,for free,2,0,1,1,yes,skilled employee,male
62.0,18,repaid,furniture,1924,781.5703794369645,0 months,4,single,none,2 years,real estate,27,none,rent,1,1,1,0,yes,skilled employee,female
-1.0,12,critical,car (new),2121,49.0,1 years,4,single,none,3 months,building society savings,30,none,own,2,0,1,0,yes,skilled employee,male
-18.0,12,repaid,radio/tv,701,16.0,1 years,4,married,none,8 months,real estate,40,none,own,1,0,1,0,yes,unskilled resident,male
175.0,12,repaid,repairs,639,26.0,3 years,4,single,none,6 months,other,30,none,own,1,1,1,0,yes,skilled employee,male
33.0,12,critical,car (used),1860,54.0,1 years,4,single,none,1 months,other,34,none,own,2,0,1,1,yes,mangement self-employed,male
-23.0,12,critical,car (new),3499,19.0,3 years,3,single,co-applicant,2 months,real estate,29,none,own,2,1,1,0,yes,skilled employee,female
72.0,48,repaid,car (new),8487,781.5703794369645,5 years,1,single,none,7 months,other,24,none,own,1,0,1,0,yes,skilled employee,female
-10.0,36,delayed,education,6887,33.0,3 years,4,single,none,1 years,building society savings,29,stores,own,1,1,1,1,yes,skilled employee,male
97.24587458745874,15,repaid,furniture,2708,94.0,3 months,2,single,none,2 years,building society savings,27,bank,own,2,0,1,0,yes,unskilled resident,male
97.24587458745874,18,repaid,furniture,1984,31.0,1 years,4,single,none,14 years,unknown/none,47,bank,for free,2,0,1,0,yes,skilled employee,male
97.24587458745874,60,repaid,radio/tv,10144,445.0,4 years,2,single,none,11 years,real estate,21,none,own,1,0,1,1,yes,skilled employee,female
97.24587458745874,12,critical,radio/tv,1240,781.5703794369645,16 years,4,single,none,6 months,real estate,38,none,own,2,0,1,1,yes,skilled employee,female
97.24587458745874,27,delayed,car (used),8613,18077.0,1 years,2,single,none,1 months,other,27,none,own,2,0,1,0,yes,skilled employee,male
43.0,12,repaid,radio/tv,766,909.0,1 years,4,single,none,2 years,real estate,66,none,own,1,1,1,0,yes,unskilled resident,male
113.0,15,critical,radio/tv,2728,781.5703794369645,6 years,4,single,guarantor,8 months,real estate,35,bank,own,3,0,1,1,yes,skilled employee,male
461.0,12,repaid,radio/tv,1881,8.0,2 years,2,single,none,8 months,other,44,none,rent,1,0,1,1,yes,unskilled resident,female
881.0,6,repaid,car (new),709,12048.0,6 months,2,married,none,5 months,real estate,27,none,own,1,0,1,0,no,unemployed non-resident,male
67.0,36,repaid,radio/tv,4795,51.0,9 months,4,single,none,2 years,unknown/none,30,none,own,1,0,1,1,yes,mangement self-employed,female
-39.0,27,repaid,radio/tv,3416,35.0,3 years,3,single,none,8 months,other,27,none,own,1,0,1,0,yes,mangement self-employed,male
-15.0,18,repaid,furniture,2462,18.0,2 years,2,single,none,4 months,other,22,none,own,1,1,1,0,yes,skilled employee,male
97.24587458745874,21,critical,furniture,2288,2.0,6 months,4,single,none,21 years,building society savings,23,none,own,1,0,1,1,yes,skilled employee,female
40.0,48,fully repaid this bank,business,3566,416.0,7 years,4,single,none,0 months,other,30,none,own,1,0,1,0,yes,skilled employee,male
-19.0,6,critical,car (new),860,80.0,14 years,1,single,none,18 years,unknown/none,39,none,own,2,0,1,1,yes,skilled employee,female
97.24587458745874,12,critical,car (new),682,184.0,4 years,4,single,none,4 years,other,51,none,own,2,0,1,1,yes,skilled employee,female
-29.0,36,critical,furniture,5371,80.0,3 years,3,single,guarantor,1 months,building society savings,28,none,own,2,0,1,0,yes,skilled employee,male
97.24587458745874,18,critical,radio/tv,1582,2657.0,13 years,4,single,none,11 years,other,46,none,own,2,0,1,0,yes,skilled employee,male
97.24587458745874,6,repaid,radio/tv,1346,385.0,16 years,2,single,none,17 years,unknown/none,42,bank,for free,1,0,2,1,yes,skilled employee,male
97.24587458745874,10,repaid,radio/tv,1924,5.0,2 years,1,single,none,22 years,building society savings,38,none,own,1,0,1,1,no,skilled employee,male
404.0,36,repaid,radio/tv,5848,85.0,2 years,4,single,none,2 years,other,24,none,own,1,0,1,0,yes,skilled employee,male
177.0,24,critical,car (used),7758,12300.0,18 years,2,single,none,7 years,unknown/none,29,none,rent,1,0,1,0,yes,skilled employee,female
151.0,24,delayed,business,6967,112.0,6 years,4,single,none,7 years,other,36,none,rent,1,0,1,1,yes,mangement self-employed,male
-45.0,12,repaid,furniture,1282,66.0,2 years,2,single,none,20 years,other,20,none,rent,1,1,1,0,yes,skilled employee,female
-48.0,9,critical,repairs,1288,314.0,11 years,3,single,guarantor,24 years,real estate,48,none,own,2,0,2,0,no,skilled employee,male
-34.0,12,fully repaid this bank,retraining,339,9.0,10 years,4,married,none,2 years,other,45,bank,own,1,0,1,0,yes,unskilled resident,male
32.0,24,repaid,car (new),3512,212.0,5 years,2,single,none,1 years,other,38,bank,own,2,0,1,1,yes,skilled employee,male
97.24587458745874,6,critical,radio/tv,1898,781.5703794369645,2 years,1,single,none,11 months,real estate,34,none,own,2,0,2,0,yes,unskilled resident,male
97.24587458745874,24,critical,radio/tv,2872,281.0,15 years,3,single,none,18 years,real estate,36,none,own,1,0,2,1,yes,skilled employee,male
97.24587458745874,18,critical,car (new),1055,15.0,2 months,4,single,none,2 years,building society savings,30,none,own,2,0,1,0,yes,skilled employee,female
97.24587458745874,15,repaid,domestic appliances,1262,686.0,4 years,4,single,none,2 years,building society savings,36,none,own,2,0,1,1,yes,skilled employee,male
196.0,10,repaid,car (new),7308,30.0,1 years,2,single,none,24 years,unknown/none,70,bank,for free,1,0,1,1,yes,mangement self-employed,male
97.24587458745874,36,repaid,car (new),909,893.0,8 years,4,single,none,8 years,building society savings,36,none,own,1,0,1,0,yes,skilled employee,male
97.24587458745874,6,repaid,furniture,2978,958.0,2 years,1,single,none,8 months,other,32,none,own,1,0,1,1,yes,skilled employee,male
-11.0,18,repaid,furniture,1131,11.0,1 years,4,single,none,9 months,other,33,none,own,1,1,1,0,yes,skilled employee,female
172.0,11,repaid,furniture,1577,19835.0,9 months,4,single,none,2 years,real estate,20,none,own,1,0,1,0,yes,skilled employee,female
97.24587458745874,24,repaid,furniture,3972,51.0,4 years,2,single,none,16 years,building society savings,25,none,rent,1,0,1,1,yes,skilled employee,female
78.0,24,critical,business,1935,90.0,19 years,4,divorced,none,15 years,real estate,31,none,own,2,1,1,1,yes,skilled employee,male
-29.0,15,fully repaid,car (new),950,38.0,7 years,4,single,none,4 years,other,33,none,rent,2,1,2,0,yes,skilled employee,male
97.24587458745874,12,repaid,furniture,763,89.0,3 years,4,single,none,2 years,real estate,26,none,own,1,0,1,1,yes,skilled employee,female
109.0,24,delayed,furniture,2064,28.0,1 years,3,single,none,11 months,building society savings,34,none,own,1,1,1,1,yes,mangement self-employed,female
75.0,8,repaid,radio/tv,1414,88.0,3 years,4,single,guarantor,3 months,real estate,33,none,own,1,0,1,0,no,skilled employee,male
-29.0,21,delayed,education,3414,5.0,3 months,2,single,none,0 months,building society savings,26,none,own,2,1,1,0,yes,skilled employee,male
97.24587458745874,30,fully repaid this bank,car (used),7485,781.5703794369645,1 years,4,single,none,0 months,real estate,53,bank,own,1,1,1,1,yes,mangement self-employed,female
-5.0,12,repaid,furniture,2577,14.0,2 years,2,divorced,none,2 years,other,42,none,own,1,0,1,0,yes,skilled employee,male
-37.0,6,critical,radio/tv,338,838.0,19 years,4,single,none,14 years,other,52,none,own,2,0,1,0,yes,skilled employee,male
97.24587458745874,12,repaid,radio/tv,1963,90.0,4 years,4,single,none,2 months,other,31,none,rent,2,0,2,1,yes,mangement self-employed,male
-49.0,21,critical,car (new),571,59.0,9 years,4,single,none,10 years,real estate,65,none,own,2,0,1,0,yes,skilled employee,male
97.24587458745874,36,delayed,business,9572,5.0,9 months,1,divorced,none,0 months,other,28,none,own,2,1,1,0,yes,skilled employee,male
1.0,36,delayed,business,4455,30.0,1 years,2,divorced,none,10 months,real estate,30,stores,own,2,1,1,1,yes,mangement self-employed,male
-42.0,21,fully repaid this bank,car (new),1647,781.5703794369645,1 years,4,single,none,3 months,building society savings,40,none,own,2,1,2,0,yes,unskilled resident,male
97.24587458745874,24,critical,furniture,3777,5073.0,2 years,4,single,none,23 years,real estate,50,none,own,1,0,1,1,yes,skilled employee,male
72.0,18,critical,car (new),884,13.0,7 years,4,single,none,10 years,other,36,bank,own,1,1,2,1,yes,skilled employee,male
97.24587458745874,15,critical,radio/tv,1360,24.0,1 years,4,single,none,2 months,building society savings,31,none,own,2,0,1,0,yes,skilled employee,male
42.0,9,fully repaid this bank,car (used),5129,49.0,15 years,2,single,none,10 years,unknown/none,74,bank,for free,1,1,2,1,yes,mangement self-employed,female
57.0,16,critical,car (new),1175,83.0,1 years,2,single,none,2 years,other,68,none,for free,3,0,1,1,yes,unemployed non-resident,male
-18.0,12,repaid,radio/tv,674,311.0,5 years,4,married,none,0 months,building society savings,20,none,own,1,1,1,0,yes,skilled employee,male
193.0,18,fully repaid,furniture,3244,8.0,1 years,1,single,none,5 years,other,33,bank,own,2,0,1,1,yes,skilled employee,female
97.24587458745874,24,repaid,business,4591,18484.0,1 years,2,single,none,3 years,building society savings,54,none,own,3,1,1,1,yes,mangement self-employed,male
39.0,48,fully repaid,business,3844,289.0,4 years,4,single,none,10 years,unknown/none,34,none,for free,1,1,2,0,yes,unskilled resident,male
130.0,27,repaid,business,3915,18.0,1 years,4,single,none,8 months,other,36,none,own,1,1,2,1,yes,skilled employee,male
97.24587458745874,6,repaid,radio/tv,2108,42.0,7 years,2,married,none,0 months,real estate,29,none,rent,1,0,1,0,yes,skilled employee,male
156.0,45,repaid,radio/tv,3031,331.0,2 years,4,single,guarantor,11 years,building society savings,21,none,rent,1,1,1,0,yes,skilled employee,male
97.0,9,critical,education,1501,78.0,18 years,2,single,none,2 years,other,34,none,own,2,1,1,1,yes,mangement self-employed,female
97.24587458745874,6,critical,radio/tv,1382,16.0,2 years,1,single,none,2 years,other,28,none,own,2,0,1,1,yes,skilled employee,female
63.0,12,repaid,furniture,951,416.0,7 months,4,single,none,11 years,other,27,bank,rent,4,1,1,0,yes,skilled employee,female
130.0,24,repaid,car (used),2760,781.5703794369645,16 years,4,single,none,11 years,unknown/none,36,bank,for free,1,0,1,1,yes,skilled employee,male
132.0,18,delayed,furniture,4297,64.0,19 years,4,divorced,none,1 years,unknown/none,40,none,own,1,1,1,1,yes,mangement self-employed,male
97.24587458745874,9,critical,education,936,601.0,8 years,4,single,none,4 months,other,52,none,own,2,0,1,1,yes,skilled employee,male
-1.0,12,repaid,car (new),1168,66.0,3 years,4,married,none,2 years,real estate,27,none,own,1,0,1,0,yes,unskilled resident,male
97.24587458745874,27,delayed,business,5117,33.0,4 years,3,single,none,13 years,other,26,none,own,2,0,1,0,yes,skilled employee,male
